sprocCR40.txt	sprocCR43.txt
RP11-1L22	-0.125505	0.001555
RP11-9L19	0.135797	0.19176
RP11-119N3	-0.095989	-0.022746
RP11-29N17	-0.016596	0.143978
RP11-67J2	-0.023365	-0.011707
RP11-13C20	-0.005564	0.0048905
RP11-185M22	0.085137	0.019798
RP11-191I9	-0.086028	0.043989
RP11-50J20	0.107988	0.1021
RP11-39A8	0.064812	0.0285015
RP11-218D15	0.002315	-0.037398
RP11-61N23	0.168713	0.121381
RP11-12N7	-0.030912	0.021476
RP11-250B10	-0.012061	0.030141
RP11-69G4	0.05485	0.007795
RP11-38I11	0.015121	-0.009731
RP11-30M1	-0.0229495	0.0223315
RP11-34N13	0.053233	0.067538
RP11-57C6	-0.064307	-0.010256
RP11-47E6	0.036051	-0.0191025
RP11-225L15	0.021602	-0.020543
CTD-2149J10	0.050083	0.027111
RP11-4B6	0.041274	0.062493
RP11-53G6	0.025752	0.033153
RP11-23G2	-0.0035265	0.001997
RP11-247E23	0.0726415	0.02782
RP11-183N7	-0.049183	0.029448
RP11-68H19	0.029903	0.099149
RP11-71H20	-0.114767	0.033954
RP11-176L22	-0.001947	0.0247015
RP11-188B21	-0.007213	-0.008806
RP11-21K1	-0.026845	0.018702
RP11-116M19	-0.059902	0.017756
CTB-172I13	-0.095416	-0.105255
CTB-228K22	-0.049406	-0.038164
RP11-121D3	-0.116907	-0.057214
RP11-129K1	0.029861	0.100357
RP11-32F23	0.071691	0.100732
RP11-28P14	0.018243	-0.026485
RP11-128A5	0.066383	0.068862
CTB-110J24	-0.113473	-0.076592
GS1-98-L2	-0.061034	0.015076
RP11-271E2	0.040564	-0.043921
RP11-279L16	-0.058129	0.057773
RP11-255O19	0.096558	0.006824
RP11-208G16	0.031962	0.081559
RP11-245E5	-0.003001	-0.007356
RP11-41F5	0.109229	0.149003
RP11-51D22	0.057513	0.008302
RP11-11L6	-0.040566	-0.051499
RP11-103N21	0.07471	0.028913
RP11-1024P17	0.130626	0.059859
RP11-286G5	0.049785	0.102831
CTD-2132L9	0.076294	0.140071
RP11-209O16	-0.157851	-0.013173
RP11-119L2	-0.048006	0.071202
RP11-189H19	-0.228179	-0.032594
RP11-111P21	0.001984	-0.032397
CTB-35K18	-0.004069	-0.046083
RP11-122D19	0.005115	0.047947
RP11-124O2	0.162702	0.106424
RP11-39L1	-0.056643	-0.008793
RP11-169G24	0.082714	0.054431
RP11-120C2	-0.003581	-0.046663
RP11-180G14	-0.032343	-0.040193
CTB-1O12	0.055896	0.035482
RP11-94D19	-2.677811	0.071264
RP11-114P15	0.034777	0.058692
RP11-129B22	-0.098989	-0.028116
RP11-179B9	0.067085	-0.050535
RP11-146E16	0.136084	0.0187
CTD-2014B13	0.156655	0.104311
RP11-69N24	-0.046286	-0.059628
RP11-129P2	0.069041	0.691369
RP11-166C10	-0.012448	-0.038871
RP11-12P11	-0.048868	-0.04809
RP11-5K13	0.095074	-0.005707
RP11-214A5	0.033231	0.079473
RP11-165B13	-0.097285	-0.06933
RP11-233L3	-0.12525	-0.030949
RP11-169N13	-0.05835	0.039723
RP11-95H16	-0.072968	0.037578
RP11-205A6	0.014594	-0.00283
RP11-59J16	-0.106591	0.012549
CTD-2121C12	0.022972	-0.002221
RP11-220J13	-0.111033	0.04312
RP11-219P10	-0.088482	-0.048176
RP11-162J10	-0.045426	0.011271
CTB-138N2	-0.108227	-0.029507
RP11-166D18	-0.012022	-0.057895
RP11-160A13	0.080162	0.055139
RP11-165M11	-0.147599	0.021444
RP11-72E23	-0.284158	-0.019854
RP11-229G6	-0.161835	-0.021526
RP11-145F16	-0.062614	0.075862
RP11-64F6	0.141368	0.070709
RP11-65L11	-0.010813	-0.046076
RP11-209H21	0.051687	0.076353
RP11-203L15	-0.065829	0.002372
RP11-198G24	-0.110866	-0.010231
RP11-1146E5	-0.023354	-0.065356
RP11-141C22	0.00119	0.051146
GS-115H3	-0.032808	-0.033416
RP11-163H6	-0.124804	0.031204
RP11-196F13	-0.152365	0.058951
RP11-172G5	-0.150779	-0.100853
RP11-148D23	0.059098	0.0144
RP11-114M1	0.05526	0.061318
CTB-364E3	-0.057461	-0.059551
RP1-97B16	0.01704	-0.0102265
RP11-118F4	-0.052509	-0.018439
RP11-125E8	-0.152397	-0.113427
CTD-2172D17	-0.044272	-0.10013
CTD-2091K6	-0.057074	0.003097
RP11-67E18	-0.022429	0.107997
RP11-178K17	0.031483	0.079881
RP11-54L9	-0.036877	-0.034687
RP11-233N20	-0.015727	-0.056943
GS1-56H22	0.029469	-0.051542
GS1-118B13	-0.063742	-0.013373
RP11-69L7	-0.036095	0.018522
RP11-20I20	0.118852	0.058223
CTD-2224I19	-0.094603	-0.001258
RP11-237C24	-0.060395	0.014459
RP11-91B20	-0.048076	-0.106212
RP11-7A6	0.085466	0.03021
RP11-97H19	0.084219	-0.013693
RP11-101J14	-0.001396	-0.048562
RP11-17I9	0.011962	-0.039343
RP11-34C20	0.253085	0.084632
RP11-171P21	0.005873	0.079754
RP11-79N22	0.140452	0.029321
RP11-11M9	0.153078	0.071628
RP11-238L9	-0.178941	0.021425
RP11-35E16	0.128413	0.040423
RP11-276O17	0.096167	0.035926
RP11-118C24	0.185796	0.06148
RP11-119N7	0.137186	0.061677
RP11-194B9	0.027341	-0.0282
RP11-210B2	0.033825	0.04563
RP11-53F2	0.008366	0.021502
RP11-266E24	0.040101	-0.015028
RP11-205N12	-0.014501	-0.064613
RP11-53F9	-0.064616	-0.000303
RP11-180G13	0.044245	-0.022842
RP11-176I4	0.092852	0.014352
RP11-85B10	0.017441	-0.004016
RP11-108H14	0.006371	-0.073826
RP11-24G16	0.091699	0.093085
RP11-126C7	0.043306	-0.006208
RP11-38M16	0.061354	0.111672
RP11-138F23	0.155548	0.031764
RP11-264N7	0.117054	0.002606
RP11-113F10	0.043248	-0.023216
RP11-253O5	0.073658	-0.005692
RP11-105F21	0.101785	-0.00067
RP11-42A17	0.068998	0.112554
RP11-238D1	0.034378	0.038369
RP11-121C2	0.168473	0.075991
RP11-232D21	0.107426	0.00202
RP11-72P14	0.054685	-0.028511
RP11-109P3	0.044451	-0.037319
RP11-217B22	0.018293	-0.026107
RP11-32K21	0.120914	0.060885
RP11-210D19	0.00159	0.003698
RP11-175I24	0.003872	0.000877
RP11-98G22	0.065617	0.059437
GS-619B4	-0.037288	0.025668
RP11-80L11	0.065099	0.020521
RP11-135H2	0.140027	0.105084
RP11-7J22	0.063346	0.052051
RP11-63E13	0.015409	0.002401
RP11-234L24	0.108696	0.119258
RP11-111K19	0.040826	0.00795
RP11-121P15	0.09851	0.037262
RP11-117B11	0.264394	0.097516
RP11-155P6	0.031222	0.063052
RP11-94K4	0.093614	0.036622
CTD-2074K5	-0.028684	0.040121
RP11-78K8	0.166555	0.105247
CTD-2103L3	0.036356	0.022425
CTD-2110E3	0.159152	0.101635
RP11-115K14	0.066396	0.064315
RP11-80I4	0.192091	0.11474
RP11-144I19	0.160957	0.072536
RP11-105F22	0.083434	0.093039
RP11-17P19	0.297082	0.105546
RP11-221M10	0.248389	0.081807
RP11-67G24	-0.032652	-0.052086
RP11-131O10	0.027831	-0.06758
RP11-11P12	-0.169736	-0.021407
RP11-7G22	0.097606	0.001947
RP11-36G19	0.052963	-0.026463
RP11-31I17	0.004211	-0.038005
RP11-120B2	0.098936	0.019594
RP11-130O10	-0.056365	-0.068602
CTC-205I10	-0.1143	-0.062404
RP11-203P12	0.105565	0.006856
RP11-17P8	0.0366	0.005889
RP11-36K8	0.210544	0.072895
RP11-132F20	0.214538	0.089167
RP11-49M7	0.038211	0.048789
RP11-221M14	0.042544	-0.003702
RP11-115O16	-0.048919	0.004967
RP11-16I17	0.040615	0.028057
RP11-21O14	-0.057905	-0.021982
RP11-144B4	0.057033	-0.000218
RP11-203M9	0.049517	0.060772
RP11-85I10	0.035397	-0.024155
RP11-183B1	0.051195	0.045198
RP11-42H6	0.130457	0.041898
CTD-2086L13	0.070072	0.01727
RP11-18D18	-0.002086	-0.026097
RP11-119K21	0.13458	0.01478
RP11-6K22	0.045404	0.026099
RP11-18F11	0.086472	0.029767
RP11-101N17	-0.010854	-0.066342
RP11-26M17	0.037078	-0.025265
RP11-131K16	-0.116972	-0.012781
CTB-159E10	0.002417	-0.119323
RP11-100E15	0.114463	0.048233
RP11-32D22	0.049916	0.093439
RP11-130M1	0.029648	-0.006026
RP11-27C19	0.028124	0.030279
RP11-107E21	0.121445	0.003927
RP11-52O3	0.059338	0.020419
RP11-11P20	0.095391	0.000722
RP11-14N24	-0.029152	0.058894
RP11-149A7	-0.018919	-0.025611
RP11-94J9	0.026127	-0.036297
RP11-40D5	-0.063767	0.076461
RP11-218I24	0.045969	-0.028571
RP11-53C1	-0.068785	0.016492
RP11-128J2	0.011369	-0.043166
RP11-22O8	0.052123	0.006117
RP11-79E2	-0.091266	0.010361
CTD-2076G21	0.020069	0.018211
RP11-122I3	-0.088604	-0.019018
RP11-33C6	0.004003	-0.035855
RP11-82L8	0.034693	-0.018757
RP11-47P10	-0.091599	-0.056504
RP11-134L22	-0.103863	-0.013619
RP11-210F12	-0.002995	-0.038266
RP11-180J5	0.04293	-0.038244
RP11-218A2	0.06792	0.034998
RP11-77F4	0.078503	0.027782
RP11-101A21	-0.050697	-0.05135
RP11-73G16	0.144919	0.107838
RP11-119B13	0.151886	0.074935
RP11-84M15	-0.036062	-0.017092
RP11-93I2	0.027713	0.056205
RP11-136D2	0.012841	0.055208
RP11-231J7	0.165269	0.110278
RP11-192D11	0.138316	0.07432
RP11-27H11	0.034626	0.108882
RP11-41G4	-0.043914	-0.083953
RP11-177L7	-0.090646	0.047443
RP11-6L19	0.101786	0.088709
RP11-51H8	-0.044748	-0.09021
RP11-199O10	0.011525	-0.018858
RP11-130I2	-0.068754	-0.001509
RP11-254A7	0.01277	0.026579
RP11-6E9	0.027283	-0.067029
RP11-272N13	0.041352	0.004317
RP11-119J20	-0.1019205	-0.059622
RP11-110O14	0.057027	0.077075
RP11-189F4	-0.039709	-0.07955
RP11-182G5	0.012561	-0.009082
RP11-122D8	0.0816	0.072546
RP11-78A18	0.108417	-0.007873
RP11-140M13	0.147623	0.081783
RP11-272O3	0.110731	0.047864
RP11-171G12	0.006228	0.015373
RP11-244K2	0.174711	0.089578
RP11-125M9	0.144368	0.02736
RP11-18D7	0.042555	-0.070883
RP11-85P1	0.105144	0.020768
RP11-196K13	0.045167	0.020107
RP11-243D3	0.062587	0.011598
RP11-13O14	-0.201282	0.006801
RP11-256M13	-0.021201	0.007836
CTD-2100H15	0.008293	-0.075082
RP11-267E24	-0.030087	-0.031945
RP11-228F3	0.054594	-0.011659
RP11-203L17	-0.024172	-0.052619
RP11-159A22	-0.060394	0.150094
RP11-262I1	-0.006808	-0.008903
RP11-213A19	0.038893	-0.022717
RP11-178C12	0.02447	-0.053463
RP11-237D3	-0.040967	-0.125615
GS1-31J3	-0.21471	-0.086396
RP1-24H17	-0.057808	-0.135169
RP11-94J21	-0.137488	-0.058146
RP11-20B3	-0.053353	0.026116
RP11-82M24	-0.059972	-0.06392
RP11-103L11	0.16984	0.041307
RP11-227M19	0.039646	0.123707
RP11-58A5	-0.132595	-0.016496
RP11-35K22	-0.161063	0.006855
RP11-36H5	0.047525	0.040892
RP11-46O23	-0.06334	0.04288
RP11-145B1	0.023019	-0.00257
RP11-72C10	-0.133022	-0.035346
RP11-29N3	0.005393	-0.044116
CTD-2040C2	-0.018609	0.060317
RP11-5N8	0.101121	0.09321
RP11-135M13	-0.002798	-0.021868
RP11-261B20	-0.063255	0.008907
RP11-260E18	-0.018232	-0.09326
RP11-269O14	-0.044459	-0.07141
RP11-88L18	0.002348	0.021749
RP11-5N11	0.105434	0.073829
RP11-67P13	-0.076807	0.054275
RP11-94E6	0.042522	-0.032911
RP11-85N3	-0.106934	0.000187
RP11-253B9	-0.043445	-0.083358
RP11-9G14	-0.01896	-0.068326
RP11-160F8	-0.020312	0.021969
RP11-17H13	-0.127801	-0.087156
RP11-143O12	-0.024241	-0.016545
RP11-22L20	0.011892	0.076968
RP11-47P7	-0.080555	-0.030494
RP11-190C5	-0.121135	-0.052044
RP11-59G13	-0.113467	0.025878
RP11-19I19	-0.036601	0.014941
RP11-174I22	0.020584	-0.064826
CTD-2006C10	-0.074089	0.04788
RP11-87D20	-0.148569	-0.091465
RP11-15P2	0.071377	0.042771
RP11-40N8	-0.06832	-0.073655
CTB-134O19	-0.112674	-0.161046
RP11-267K19	0.026486	-0.032905
RP11-172K14	-0.041162	-0.091945
RP11-62D9	-0.065501	-0.008904
RP11-1H14	-0.020607	-0.063985
RP11-1E10	-0.155697	-0.021393
RP11-47N20	-0.064499	-0.103206
RP11-207B2	0.094344	0.125796
RP11-275E14	0.012595	0.00397
RP11-45O11	-0.173746	-0.009719
RP11-204D12	0.132822	0.035348
RP11-203J7	-0.04999	-0.106837
RP11-115L24	0.034745	-0.046578
RP11-277N18	0.010718	-0.017314
RP11-252I13	-0.148082	-0.04877
CTD-2079J2	-0.04097	0.040375
RP11-13O21	-0.003637	-0.087996
CTC-317F16	-0.098842	-0.020362
CTD-2141B2	0.124385	0.124002
RP11-64F17	-0.019296	-0.030273
RP11-81C5	-0.091274	-0.081713
RP11-73N22	-0.101936	0.03571
RP11-15P5	-0.100993	-0.042395
RP11-47L19	0.077077	-0.00501
RP11-265M23	-0.106702	-0.069818
RP11-209F21	-7.6e-05	-0.03434
RP11-42M12	-0.035301	-0.019954
CTD-2004C12	-0.032911	-0.111338
RP11-4E3	-0.297235	-0.063284
CTD-2141C20	0.037343	0.031371
RP11-21C10	-0.134839	0.005847
RP11-21J3	-0.100942	-0.111493
RP11-233E5	-0.047563	-0.013139
CTD-2113L13	-0.067672	-0.193995
RP1-98O22	-0.078481	-0.035801
RP11-115I4	-0.091652	-0.140357
RP11-55M16	-0.073561	-0.012628
RP11-14K13	-0.22263	-0.006386
RP11-216N13	-0.072564	-0.142971
RP11-109G16	-0.020227	-0.09854
RP11-82P23	-0.050899	-0.003075
RP1-141L3	0.060078	0.077507
CTD-2202A14	-0.083229	-0.08891
RP11-128C13	-0.055898	0.020107
CTD-2118L22	0.101427	0.062449
RP11-109B15	0.032794	-0.053524
RP11-86C20	-0.039772	-0.111918
RP11-170L13	0.032801	-0.022801
RP11-31B18	-0.004887	-0.022023
RP11-82E8	-0.003547	-0.030039
RP11-4J6	0.028831	-0.024168
RP11-90N23	-0.012034	-0.017667
RP11-210K16	-0.022947	-0.096418
RP11-88J19	-0.072006	-0.042574
RP11-94L2	-0.096341	-0.058935
RP11-173F9	0.032371	-0.02724
RP11-128E4	0.056798	-0.063828
RP11-35O10	0.028793	0.058009
RP11-14K9	-0.10323	-0.021998
RP11-15F10	-0.010632	-0.001246
RP11-69A18	-0.052972	0.006502
RP11-88L12	-0.010966	0.002942
RP11-105L4	-0.123909	0.029311
RP11-48K2	0.013494	-0.043176
RP11-125L2	0.018642	-0.093964
CTD-2262N19	0.03274	-0.131528
RP11-51D11	-0.061748	-0.046632
GS1-196I5	0.07243	0.044327
RP11-53P21	-0.001548	-0.07291
RP11-24N8	-0.190329	-0.110079
RP11-168G4	-0.107015	-0.06459
RP11-177C16	0.002638	-0.071817
RP11-1J24	-0.005396	0.029763
RP11-66E14	-0.007574	0.006841
RP11-126J14	0.01232	-0.090438
RP11-83B17	0.001855	-0.033047
RP11-113K20	-0.082062	0.008305
CTD-2094H4	-0.164122	-0.012125
RP11-88E14	-0.005186	0.039529
RP11-163E21	-0.10854	-0.008506
RP11-22P23	-0.024933	-0.019975
RP11-43B4	-0.004073	-0.005932
RP11-159C8	-0.02826	-0.107728
RP11-3D15	0.011507	-0.075837
RP11-273J1	0.009118	0.014472
RP11-53I19	-0.004784	-0.040207
RP11-224B15	-0.134832	-0.057176
RP11-52C20	-0.034779	-0.031497
RP11-145M23	0.002361	-0.014087
CTD-2144B12	-0.076388	-0.031981
RP11-2P4	-0.065081	-0.029116
CTD-2130B14	-0.118404	-0.173752
RP11-119C22	-0.122143	-0.03004
RP11-197P9	0.003111	-0.078326
RP11-139J19	0.027648	-0.066091
RP11-174E21	-0.040548	-0.108753
RP11-136C6	0.042238	-0.013577
RP11-133J6	0.05356	-0.060414
RP11-105P7	0.218275	0.255697
RP11-14G23	-0.038879	-0.04166
RP11-10M23	-0.053753	-0.026656
RP11-91H14	-0.02355	-0.032167
RP11-121G20	-0.088745	-0.03537
RP11-39C2	-0.043839	0.071124
RP11-3M23	0.041707	-0.011164
RP11-58P9	-0.058413	-0.027673
RP11-40P17	-0.197171	-0.120657
RP11-7H16	-0.041754	-0.026384
RP11-284E1	-0.051368	-0.00114
RP11-146B10	0.332429	-0.044338
RP11-111P16	-0.38691	-0.088935
RP3-445N2	-0.116056	-0.05219
RP11-164C22	-0.088768	-0.042306
RP11-277K21	0.100953	0.005216
CTD-2009C6	-0.051325	-0.001304
RP11-2M9	-0.045513	0.024376
RP11-121K16	-0.010821	-0.067432
RP11-28P18	-0.024786	-0.014094
RP11-217L13	0.006342	0.019194
RP11-32O2	-0.033881	-0.056099
RP11-52B15	-0.044229	-0.04713
RP11-13I21	-0.075178	0.001659
RP11-113K7	-0.108844	-0.029254
RP11-14G17	-0.104414	-0.051532
CTD-2026K7	-0.083141	-0.308843
RP11-14I4	-0.051415	-0.034928
RP11-73D20	-0.33968	-0.130155
RP11-47E20	-0.062638	0.038795
RP11-165E15	-0.025879	0.014466
RP11-78P9	-0.054122	-0.119447
RP11-75C8	0.05068	-0.030492
RP11-28L24	-0.063794	0.004514
RP11-59F18	-0.024602	-0.053449
RP11-51N24	0.111855	-0.020863
RP11-24F12	-0.107869	-0.004323
RP11-28K19	-0.019446	-0.065008
RP11-59D10	-0.092858	0.004533
RP11-231F3	-0.113937	0.010197
RP11-12C21	0.060408	-0.050494
RP11-107M3	-0.092877	-0.074447
RP11-139O22	-0.071838	-0.065946
RP11-177M14	-0.028293	-0.071348
CTC-268N4	-0.020864	0.057924
RP11-32P13	0.055966	-0.011883
CTD-2015J17	-0.164989	-0.084865
RP11-15H7	-0.135737	-0.114766
GS-59B4	0.202565	0.051647
RP11-20H19	0.088376	-0.05329
CTD-2043F20	-0.123444	-0.01893
RP11-43B19	0.324711	0.421695
RP1-57H24	-0.006132	-0.017506
CTD-2051E21	-0.004184	-0.021921
RP1-164D18	0.037447	0.043305
RP11-23D23	-0.169998	0.048404
CTC-329F6	0.042381	0.060691
RP11-96L18	-0.01403	-0.059504
GS1-191O15	-0.037362	-0.003535
RP11-234N20	-0.057477	-0.004012
RP11-191P7	-0.102133	0.010611
CTB-146A2	0.004344	0.103404
GS1-42C19	-0.05417	-0.05158
RP11-2K20	-0.129586	0.024237
RP11-183O1	-0.070864	0.003837
GS1-54J22	0.112259	0.111301
GS1-183H7	0.062923	0.143417
GS1-124N22	-0.104164	0.035168
RP11-128J9	-0.072609	-0.024199
GS1-165K6	0.044461	0.127102
RP11-123E5	-0.20727	-0.016287
RP11-173P9	-0.051445	0.091283
RP11-70K3	-0.115211	0.086933
RP11-51L23	-0.0696	0.094077
CTB-168O22	0.043308	0.09277
RP11-71F18	-0.104851	0.060313
RP11-49N21	-0.115693	0.046494
CTB-1D14	0.047211	0.015634
RP11-243C6	-0.076339	0.070295
RP11-160L16	-0.042199	0.047451
CTB-148D3	0.065433	0.150822
GS1-213H12	0.043696	0.052676
CTB-23D20	0.11894	0.089993
RP11-17H7	-0.145434	0.040264
RP11-34N11	-0.184025	0.048339
GS1-124K10	0.088218	0.082035
RP11-93J6	-0.081905	0.029884
RP11-95N10	-0.097152	0.01116
GS1-174H8	-0.117736	0.03379
RP11-128O3	-0.085505	0.075716
GS1-24B21	0.02556	0.075588
RP11-115G23	-0.096777	-0.026091
RP11-138E20	-0.081388	0.010231
RP11-87M15	-0.019317	-0.059479
CTB-88A9	-0.221876	0.083382
RP11-75O22	-0.103985	-0.002831
GS1-100A6	-0.072734	0.021535
RP11-115G1	-0.056805	-0.068927
GS1-85G10	-0.090489	0.039054
CTC-520A9	-0.011806	0.059061
RP11-15M23	-0.063161	0.051558
RP11-70D20	-0.025386	-0.05493
RP11-100C21	-0.080125	0.070504
RP11-141P12	-0.117894	-0.029254
CTC-232O9	-0.05332	0.076302
GS1-8A1	-0.01191	0.089185
RP11-52M17	-0.093345	0.050692
RP11-217O10	-0.036003	-0.010712
RP11-126K7	-0.028667	0.062544
RP11-109N2	0.033824	0.017214
GS1-220D8	0.001203	-0.021261
RP11-146C1	-0.065433	0.023598
RP11-123F4	0.115011	0.095744
GS1-202O8	-0.028059	0.013355
RP11-15L23	-0.153489	0.051403
GS1-32L15	-0.032816	0.043691
GS1-6E1	0.045131	0.143746
RP11-14K11	-2.748584	0.058488
GS-246M20	-0.09907	0.072112
RP11-97P11	-0.016226	0.036119
RP11-34J24	-0.183954	0.015847
RP11-45N18	-0.091715	-0.061824
RP11-90O18	0.13098	0.100295
CTC-247K5	-0.150283	-0.011251
GS1-208J7	-0.113161	-0.070334
RP11-41F23	0.033432	0.057529
CTC-325E15	-0.022244	-0.034997
RP11-114E12	0.029162	0.073431
RP11-96O16	-0.021157	0.1146
GS1-35C5	0.053339	0.008814
RP11-193J17	-0.018491	-0.031433
GS1-240H2	0.062917	0.086243
RP11-35P20	-0.069667	0.049985
CTB-51J22	0.014493	0.050965
RP1-117G9	-0.029168	-0.040241
RP11-35H4	-0.053481	0.004635
RP11-56C16	0.012656	-0.054585
RP11-219N12	0.050633	0.058223
GS1-27F18	-0.12783	0.087413
RP11-115O3	0.041042	0.020525
